'﻿Sensor remetente',' Estado do Paciente',' Enviado às (s)',' Processado às (s)',' Diff (s)',Sensors,'Cycle Time Constraint','Emergency Detection Time Constraint'
Sensor0,medio,2.52918,2.67298,0.14381,five,VIOLATED,SATISFIED
Sensor0,bom,3.2441,3.33879,0.09469,five,SATISFIED,SATISFIED
Sensor0,medio,4.34621,4.44208,0.09586,five,SATISFIED,SATISFIED
Sensor0,bom,4.5495,4.64911,0.0996,five,SATISFIED,SATISFIED
Sensor0,ruim,9.16192,9.25755,0.09563,five,SATISFIED,SATISFIED
Sensor0,medio,13.0604,13.1568,0.09635,five,SATISFIED,SATISFIED
Sensor0,bom,13.2645,13.3549,0.09044,five,SATISFIED,SATISFIED
Sensor0,ruim,15.5648,15661,0.09628,five,SATISFIED,SATISFIED
Sensor0,ruim,15.6679,15.7616,0.09361,five,SATISFIED,SATISFIED
Sensor0,ruim,15865,15.9576,0.09255,five,SATISFIED,SATISFIED
Sensor0,ruim,28.5631,28.6566,0.09348,five,SATISFIED,SATISFIED
Sensor0,ruim,28.7646,28857,0.09232,five,SATISFIED,SATISFIED
Sensor0,ruim,28.9645,29.0585,0.09398,five,SATISFIED,SATISFIED
Sensor0,ruim,29.8626,29.9563,0.09366,five,SATISFIED,SATISFIED
Sensor0,medio,35.7616,35.8565,0.09486,five,SATISFIED,SATISFIED
Sensor0,bom,35.8628,35.9607,0.09786,five,SATISFIED,SATISFIED
Sensor0,ruim,43.5626,43.6577,0.09502,five,SATISFIED,SATISFIED
Sensor0,ruim,43.9637,44.0598,0.09619,five,SATISFIED,SATISFIED
Sensor0,ruim,44.0666,44.1624,0.09579,five,SATISFIED,SATISFIED
Sensor0,ruim,44.8645,44.9558,0.09132,five,SATISFIED,SATISFIED
Sensor0,ruim,44.9623,45.0593,0.09786,five,SATISFIED,SATISFIED
Sensor0,ruim,45.2616,45.3558,0.0942,five,SATISFIED,SATISFIED
Sensor0,medio,49361,49.4589,0.09787,five,SATISFIED,SATISFIED
Sensor0,medio,50.1669,50.2581,0.0912,five,SATISFIED,SATISFIED
Sensor0,ruim,79.5622,79656,0.09382,five,SATISFIED,SATISFIED
Sensor0,ruim,80364,80.4592,0.09518,five,SATISFIED,SATISFIED
Sensor0,medio,80.5661,80.6596,0.0935,five,SATISFIED,SATISFIED
Sensor0,ruim,84.2619,84.3571,0.09518,five,SATISFIED,SATISFIED
Sensor0,ruim,84.6645,84.7598,0.09528,five,SATISFIED,SATISFIED
Sensor0,medio,84.7662,84.8591,0.09296,five,SATISFIED,SATISFIED
Sensor0,ruim,85.2634,85.3603,0.09689,five,SATISFIED,SATISFIED
Sensor0,medio,86.8619,86.9576,0.09576,five,SATISFIED,SATISFIED
Sensor0,bom,86.9639,87058,0.09408,five,SATISFIED,SATISFIED
Sensor0,medio,90862,90.9567,0.09474,five,SATISFIED,SATISFIED
Sensor0,bom,91.3625,91.4573,0.09484,five,SATISFIED,SATISFIED
Sensor0,medio,94.2621,94358,0.09591,five,SATISFIED,SATISFIED
Sensor0,bom,94.5603,94.6573,0.09705,five,SATISFIED,SATISFIED
Sensor0,medio,101563,101658,0.09509,five,SATISFIED,SATISFIED
Sensor0,ruim,101665,101759,0.09421,five,SATISFIED,SATISFIED
Sensor0,medio,102059,102158,0.09853,five,SATISFIED,SATISFIED
Sensor0,bom,102366,102459,0.09371,five,SATISFIED,SATISFIED
Sensor0,ruim,105361,105457,0.09592,five,SATISFIED,SATISFIED
Sensor0,ruim,105.66,105757,0.09709,five,SATISFIED,SATISFIED
Sensor0,medio,113161,113256,0.09488,five,SATISFIED,SATISFIED
Sensor0,ruim,113263,113.36,0.09753,five,SATISFIED,SATISFIED
Sensor0,ruim,113861,113961,0.10043,five,VIOLATED,SATISFIED
Sensor0,ruim,113968,114063,0.0947,five,SATISFIED,SATISFIED
Sensor0,ruim,114863,114958,0.09532,five,SATISFIED,SATISFIED
Sensor0,ruim,114965,115062,0.09741,five,SATISFIED,SATISFIED
Sensor0,bom,115666,115.76,0.09384,five,SATISFIED,SATISFIED
Sensor0,ruim,117363,117456,0.09317,five,SATISFIED,SATISFIED
Sensor0,medio,119362,119.46,0.09753,five,SATISFIED,SATISFIED
Sensor0,bom,119466,119559,0.09225,five,SATISFIED,SATISFIED
Sensor0,medio,119762,119856,0.09458,five,SATISFIED,SATISFIED
Sensor0,bom,120165,120258,0.09355,five,SATISFIED,SATISFIED
Sensor0,medio,121961,122057,0.09618,five,SATISFIED,SATISFIED
Sensor0,bom,122764,122857,0.09247,five,SATISFIED,SATISFIED
Sensor0,ruim,124961,125056,0.09525,five,SATISFIED,SATISFIED
Sensor0,medio,125565,125661,0.09671,five,SATISFIED,SATISFIED
Sensor0,bom,125669,125763,0.09385,five,SATISFIED,SATISFIED
Sensor0,ruim,128261,128359,0.09814,five,SATISFIED,SATISFIED
Sensor0,ruim,128564,128658,0.09473,five,SATISFIED,SATISFIED
Sensor0,ruim,141563,141657,0.09403,five,SATISFIED,SATISFIED
Sensor0,medio,142162,142259,0.09713,five,SATISFIED,SATISFIED
Sensor0,bom,142365,142457,0.09195,five,SATISFIED,SATISFIED
Sensor0,ruim,147763,147858,0.09479,five,SATISFIED,SATISFIED
Sensor0,medio,148058,148153,0.09532,five,SATISFIED,SATISFIED
Sensor0,bom,148.16,148259,0.09875,five,SATISFIED,SATISFIED
Sensor0,medio,155763,155858,0.09554,five,SATISFIED,SATISFIED
Sensor0,bom,156362,156457,0.09527,five,SATISFIED,SATISFIED
Sensor0,ruim,157262,157358,0.09597,five,SATISFIED,SATISFIED
Sensor0,medio,157.56,157656,0.09608,five,SATISFIED,SATISFIED
Sensor0,bom,157663,157759,0.09569,five,SATISFIED,SATISFIED
Sensor0,ruim,158762,158857,0.09493,five,SATISFIED,SATISFIED
Sensor0,medio,158863,158961,0.09772,five,SATISFIED,SATISFIED
Sensor0,ruim,159862,159957,0.09548,five,SATISFIED,SATISFIED
Sensor0,ruim,160363,160459,0.0964,five,SATISFIED,SATISFIED
Sensor0,ruim,161363,161458,0.0955,five,SATISFIED,SATISFIED
Sensor0,medio,162163,162256,0.09314,five,SATISFIED,SATISFIED
Sensor0,bom,162365,162.46,0.09521,five,SATISFIED,SATISFIED
Sensor0,medio,170063,170157,0.09394,five,SATISFIED,SATISFIED
Sensor0,bom,170264,170356,0.09178,five,SATISFIED,SATISFIED
Sensor0,medio,179265,179.36,0.09499,five,SATISFIED,SATISFIED
Sensor0,bom,179564,179657,0.09312,five,SATISFIED,SATISFIED
Sensor0,medio,180662,180758,0.09615,five,SATISFIED,SATISFIED
Sensor0,ruim,180764,180859,0.09436,five,SATISFIED,SATISFIED
Sensor0,medio,181763,181858,0.09465,five,SATISFIED,SATISFIED
Sensor0,bom,181865,181.96,0.09519,five,SATISFIED,SATISFIED
Sensor0,ruim,190963,191058,0.09531,five,SATISFIED,SATISFIED
Sensor0,ruim,191262,191358,0.09631,five,SATISFIED,SATISFIED
Sensor0,ruim,191465,191558,0.09372,five,SATISFIED,SATISFIED
Sensor0,medio,195663,195758,0.0951,five,SATISFIED,SATISFIED
Sensor0,bom,195864,195958,0.09322,five,SATISFIED,SATISFIED
Sensor0,ruim,202664,202758,0.09428,five,SATISFIED,SATISFIED
Sensor0,ruim,203863,203957,0.09423,five,SATISFIED,SATISFIED
Sensor0,ruim,203963,204061,0.09731,five,SATISFIED,SATISFIED
Sensor0,ruim,209561,209658,0.0967,five,SATISFIED,SATISFIED
Sensor0,ruim,209664,209758,0.0936,five,SATISFIED,SATISFIED
Sensor0,ruim,212362,212457,0.09529,five,SATISFIED,SATISFIED
Sensor0,ruim,212563,212655,0.09136,five,SATISFIED,SATISFIED
Sensor0,medio,216164,216258,0.09336,five,SATISFIED,SATISFIED
Sensor0,medio,216264,216361,0.09615,five,SATISFIED,SATISFIED
Sensor0,ruim,219261,219357,0.09598,five,SATISFIED,SATISFIED
Sensor0,ruim,219964,220058,0.09386,five,SATISFIED,SATISFIED
Sensor0,medio,220166,220.26,0.09397,five,SATISFIED,SATISFIED
Sensor0,ruim,220462,220558,0.09616,five,SATISFIED,SATISFIED
Sensor0,medio,221062,221157,0.0947,five,SATISFIED,SATISFIED
Sensor0,bom,221359,221456,0.09791,five,SATISFIED,SATISFIED
Sensor0,ruim,223662,223759,0.09686,five,SATISFIED,SATISFIED
Sensor0,medio,225462,225559,0.09667,five,SATISFIED,SATISFIED
Sensor0,bom,225766,225858,0.09235,five,SATISFIED,SATISFIED
Sensor0,ruim,229265,229358,0.09367,five,SATISFIED,SATISFIED
